"time","rep","training_site","infections","importations","testPositive"
1,490,"FB",0,0,4
1,490,"FLW",0,0,0
1,491,"FB",0,0,9
1,491,"FLW",0,0,3
1,492,"FB",0,0,7
1,492,"FLW",0,0,4
1,493,"FB",0,0,6
1,493,"FLW",0,0,5
1,494,"FB",0,0,6
1,494,"FLW",0,0,4
1,495,"FB",0,0,9
1,495,"FLW",1,0,4
1,496,"FB",1,0,7
1,496,"FLW",0,0,2
1,497,"FB",2,0,4
1,497,"FLW",0,0,5
1,498,"FB",0,0,13
1,498,"FLW",0,0,5
1,499,"FB",0,0,5
1,499,"FLW",0,0,2
1,5,"FB",2,0,7
1,5,"FLW",3,0,3
1,50,"FB",0,0,8
1,50,"FLW",0,0,9
1,500,"FB",0,0,4
1,500,"FLW",0,0,4
1,501,"FB",0,0,5
1,501,"FLW",0,0,1
1,502,"FB",0,0,7
1,502,"FLW",0,0,1
1,503,"FB",0,0,8
1,503,"FLW",3,0,2
1,504,"FB",0,0,5
1,504,"FLW",0,0,4
1,505,"FB",0,0,10
1,505,"FLW",1,0,7
1,506,"FB",0,0,9
1,506,"FLW",0,0,5
1,507,"FB",1,0,9
1,507,"FLW",0,0,3
1,508,"FB",0,0,9
1,508,"FLW",0,0,3
1,509,"FB",1,0,12
1,509,"FLW",0,0,4
1,51,"FB",0,0,7
1,51,"FLW",0,0,2
1,510,"FB",1,0,11
1,510,"FLW",0,0,8
1,511,"FB",0,0,8
1,511,"FLW",0,0,1
1,512,"FB",1,0,2
1,512,"FLW",0,0,3
1,513,"FB",0,0,11
1,513,"FLW",1,0,7
1,514,"FB",2,0,5
1,514,"FLW",0,0,5
1,515,"FB",0,0,17
1,515,"FLW",0,0,2
1,516,"FB",0,0,6
1,516,"FLW",0,0,2
1,517,"FB",0,0,7
1,517,"FLW",0,0,4
1,518,"FB",0,0,2
1,518,"FLW",0,0,8
1,519,"FB",2,0,10
1,519,"FLW",0,0,4
1,52,"FB",0,0,3
1,52,"FLW",0,0,5
1,520,"FB",1,0,8
1,520,"FLW",0,0,2
1,521,"FB",0,0,5
1,521,"FLW",0,0,3
1,522,"FB",0,0,12
1,522,"FLW",0,0,5
1,523,"FB",0,0,4
1,523,"FLW",0,0,4
1,524,"FB",0,0,2
1,524,"FLW",0,0,7
1,525,"FB",0,0,10
1,525,"FLW",0,0,3
1,526,"FB",0,0,4
1,526,"FLW",0,0,4
1,527,"FB",0,0,10
1,527,"FLW",0,0,3
1,528,"FB",0,0,4
1,528,"FLW",0,0,5
1,529,"FB",0,0,5
