"time","rep","importation","sim_scenario","infections"
37,12,1,"NoIntervention",11
38,12,1,"NoIntervention",6
39,12,1,"NoIntervention",7
40,12,1,"NoIntervention",9
41,12,1,"NoIntervention",6
42,12,1,"NoIntervention",2
43,12,1,"NoIntervention",3
44,12,1,"NoIntervention",3
45,12,1,"NoIntervention",1
46,12,1,"NoIntervention",1
47,12,1,"NoIntervention",1
48,12,1,"NoIntervention",1
49,12,1,"NoIntervention",0
50,12,1,"NoIntervention",0
51,12,1,"NoIntervention",1
52,12,1,"NoIntervention",0
53,12,1,"NoIntervention",0
54,12,1,"NoIntervention",0
55,12,1,"NoIntervention",0
56,12,1,"NoIntervention",0
57,12,1,"NoIntervention",0
58,12,1,"NoIntervention",0
59,12,1,"NoIntervention",0
60,12,1,"NoIntervention",0
61,12,1,"NoIntervention",0
62,12,1,"NoIntervention",0
63,12,1,"NoIntervention",0
64,12,1,"NoIntervention",0
65,12,1,"NoIntervention",0
